#greylevel,thickness
0,-0.0597
1,-0.0642
2,-0.1024
3,-0.1186
4,-0.1402
5,-0.1672
6,-0.2021
7,-0.2330
8,-0.2556
9,-0.2819
10,-0.3111
11,-0.3306
12,-0.3636
13,-0.3856
14,-0.4082
15,-0.4368
16,-0.4799
17,-0.5022
18,-0.5305
19,-0.5606
20,-0.5881
21,-0.6142
22,-0.6406
23,-0.6724
24,-0.7062
25,-0.7285
26,-0.7455
27,-0.7666
28,-0.7933
29,-0.8207
30,-0.8464
31,-0.8684
32,-0.8904
33,-0.9151
34,-0.9382
35,-0.9608
36,-0.9884
37,-1.0098
38,-1.0364
39,-1.0596
40,-1.0779
41,-1.0925
42,-1.1039
43,-1.1339
44,-1.1567
45,-1.1736
46,-1.1877
47,-1.2007
48,-1.2071
49,-1.2259
50,-1.2444
51,-1.2658
52,-1.2793
53,-1.2994
54,-1.3138
55,-1.3257
56,-1.3342
57,-1.3443
58,-1.3563
59,-1.3697
60,-1.3767
61,-1.3924
62,-1.4131
63,-1.4199
64,-1.4266
65,-1.4406
66,-1.4577
67,-1.4685
68,-1.4763
69,-1.4853
70,-1.4905
71,-1.5016
72,-1.5128
73,-1.5200
74,-1.5326
75,-1.5445
76,-1.5526
77,-1.5623
78,-1.5687
79,-1.5736
80,-1.5766
81,-1.5816
82,-1.5879
83,-1.6001
84,-1.6121
85,-1.6246
86,-1.6331
87,-1.6380
88,-1.6441
89,-1.6528
90,-1.6579
91,-1.6648
92,-1.6691
93,-1.6809
94,-1.6875
95,-1.6935
96,-1.6989
97,-1.7052
98,-1.7082
99,-1.7148
100,-1.7227
101,-1.7274
102,-1.7292
103,-1.7337
104,-1.7358
105,-1.7450
106,-1.7469
107,-1.7473
108,-1.7554
109,-1.7646
110,-1.7725
111,-1.7766
112,-1.7819
113,-1.7880
114,-1.7929
115,-1.7997
116,-1.8075
117,-1.8141
118,-1.8177
119,-1.8187
120,-1.8238
121,-1.8236
122,-1.8308
123,-1.8345
124,-1.8373
125,-1.8427
126,-1.8393
127,-1.8484
